,posted,neighborhood,post title,number bedrooms,sqft,URL,price
95,2019-04-26 13:51, (sunset / parkside),Immaculate Condo. in Awesome Location!,2br,740ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-immaculate-condo-in/6875543016.html,3195
96,2019-04-26 13:50, (twin peaks / diamond hts),•••# 924 Corbett Ave-RENTAL- 2beds 2baths,2br,1310ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-924-corbett-ave-rental/6875518774.html,4140
97,2019-04-26 13:50, (SOMA / south beach),"Economical Apartment Single Room, Co-Living Style in Busy South Beach",,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-economical-apartment/6875542364.html,1495
98,2019-04-26 13:49, (San Francisco - Alamo Square),Spectacular 2 bdr in Desirable Alamo Square! Rentals In SF,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spectacular-2-bdr-in/6875541788.html,4195
99,2019-04-26 13:48, (downtown / civic / van ness),"If You Work Downtown or In The SoMa, You’ll Love Your Commute",1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-if-you-work-downtown-or/6875540839.html,2295
100,2019-04-26 13:47, (visitacion valley),Spacious 2 bedroom 2.5 bathroom w/Den,2br,1487ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-2-bedroom-25/6875539518.html,3801
101,2019-04-26 13:46, (lower nob hill),Open Hse Saturday Nice large Studio Apt in Lower Nob Hill area S.F.,,429ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-hse-saturday-nice/6872301534.html,2265
102,2019-04-26 13:46, (potrero hill),1 Bedroom with a Balcony,1br,607ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-bedroom-with-balcony/6875538683.html,3715
103,2019-04-26 13:44, (marina / cow hollow),Stunning Penthouse! Bay and Golden Gate Bridge Views!  ~ J.Wavro,3br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stunning-penthouse-bay/6875537558.html,7995
104,2019-04-26 13:44, (north beach / telegraph hill),$3300 Apartment For Rent in North Beach,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3300-apartment-for-rent/6862533055.html,3300
105,2019-04-26 13:44, (north beach / telegraph hill),2 Bedroom Apartment in North Beach $3300,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-apartment-in/6862533494.html,3300
106,2019-04-26 13:44, (lower haight),Huge True Four Bedroom 1.5 Bath Flat W/D on Site,4br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-huge-true-four-bedroom-15/6871777305.html,6895
107,2019-04-26 13:43, (USF / panhandle),Large Victorian 1 Bedroom available now,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-victorian-1-bedroom/6875534596.html,2900
108,2019-04-26 13:43, (glen park),Charming Miraloma Park Home SHOWING 4/27/19,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-miraloma-park/6870423204.html,3750
109,2019-04-26 13:43, (mission district),Immaculate Unit with Open floor plan and more...,2br,700ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-immaculate-unit-with-open/6872943469.html,3895
110,2019-04-26 13:43, (north beach / telegraph hill),$3300 Apartment For Rent in North Beach,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3300-apartment-for-rent/6862533213.html,3300
111,2019-04-26 13:43, (nob hill),The Entryway Alone Should Be on the Cover of Travel + Leisure,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-the-entryway-alone-should/6875536417.html,3895
112,2019-04-26 13:43, (north beach / telegraph hill),$3300 Apartment For Rent in North Beach,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3300-apartment-for-rent/6862533349.html,3300
113,2019-04-26 13:42, (nob hill),Cozy Remodeled 1bd Apt w/ Hardwood! Excellent Location! ~ J.Wavro,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cozy-remodeled-1bd-apt/6875536136.html,2495
114,2019-04-26 13:42, (north beach / telegraph hill),$3300 Apartment For Rent in North Beach,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3300-apartment-for-rent/6862532801.html,3300
115,2019-04-26 13:42, (noe valley),Spacious Two-Level Noe Valley Condo -- SATURDAY SHOWING,2br,1900ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-two-level-noe/6870453932.html,5400
116,2019-04-26 13:41, (cole valley / ashbury hts),Prime Cole Valley 1BR w/ Private Balcony ~ J.Wavro,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-prime-cole-valley-1br/6875534802.html,2795
117,2019-04-26 13:40, (mission district),"Updated Top Floor Spacious Sunny Mission Loft, 2 Car Parking Included",1br,1000ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-top-floor/6875534047.html,4500
118,2019-04-26 13:40, (lower nob hill),"Historical Jazz Building, Sleek New Upgrades Right Downtown",1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-historical-jazz-building/6875533960.html,2695
119,2019-04-26 13:40, (richmond / seacliff),New Bright Spacious Remodeled Central Richmond Apt w/ HW! ~ J.Wavro,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-new-bright-spacious/6875533840.html,3150
120,2019-04-26 13:38, (north beach / telegraph hill),"Remodeled 2BD/1BA, Available Immediately with Garage!",2br,900ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-2bd-1ba/6875532253.html,4700
121,2019-04-26 13:38, (lower nob hill),Open Hse Saturday  Nice 1 Bdrm apt in 13 unit bldg  Lower Nob Hill,1br,506ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-hse-saturday-nice-1/6873014098.html,2395
122,2019-04-26 13:37, (mission district),Spacious 3Bed/Split bath Flat w/ Hardwood Floors,3br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-3bed-split-bath/6855799645.html,5800
123,2019-04-26 13:37, (nob hill),Bright Remodeled 3bd Flat w/ HW! Excellent Location! ~ J.Wavro,3br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-remodeled-3bd-flat/6875531251.html,4995
124,2019-04-26 13:36, (nob hill),Classic Nob Hill One Bedroom at the Top of the Hill ~ J.Wavro,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-classic-nob-hill-one/6875530559.html,3700
125,2019-04-26 13:36, (SOMA / south beach),AMAZING Views 2bedroom 2bath Home!,2br,1181ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-amazing-views-2bedroom/6875530413.html,5495
126,2019-04-26 13:35, (financial district),"Captivating View of the Bay Bridge, One Bedroom Apartment Home",,652ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-captivating-view-of-the/6875529548.html,5500
